,0,1
1362,207,246
1363,207,241
1364,207,177
1365,207,266
1366,207,248
1367,368,115
1368,368,161
1369,368,369
1370,368,341
1371,368,268
1372,368,191
1373,368,244
1374,368,370
1375,368,371
1376,368,245
1377,368,246
1378,368,177
1379,368,178
1380,368,275
1381,368,372
1382,368,232
1383,368,373
1384,368,252
1385,368,374
1386,82,105
1387,82,99
1388,82,92
1389,82,131
1390,82,126
1391,82,135
1392,82,136
1393,82,299
1394,94,119
1395,94,92
1396,94,95
1397,94,199
1398,94,311
1399,94,291
1400,94,141
1401,99,128
1402,99,139
1403,99,97
1404,99,201
1405,99,190
1406,99,340
1407,99,198
1408,99,92
1409,99,200
1410,99,131
1411,99,126
1412,99,347
1413,99,127
1414,99,304
1415,119,144
1416,119,318
1417,119,293
1418,119,190
1419,119,369
1420,119,199
1421,119,303
1422,119,313
1423,122,278
1424,122,116
1425,122,199
1426,122,74
1427,122,321
1428,122,291
1429,122,322
1430,122,154
1431,122,303
1432,122,132
1433,122,93
1434,122,323
1435,122,133
1436,122,331
1437,122,305
1438,122,308
1439,73,148
1440,73,292
1441,73,94
1442,73,140
1443,73,320
1444,73,291
1445,73,141
1446,73,135
1447,73,103
1448,73,324
1449,73,307
1450,73,186
1451,56,94
1452,56,56
1453,56,140
1454,56,145
1455,56,340
1456,56,200
1457,56,131
1458,56,199
1459,56,120
1460,56,74
1461,56,132
1462,56,324
1463,56,375
1464,91,151
1465,91,140
1466,91,340
1467,91,200
1468,91,131
1469,91,126
1470,91,347
1471,91,112
1472,91,154
1473,91,135
1474,89,91
1475,89,130
1476,89,200
1477,89,163
1478,89,127
1479,89,303
1480,89,135
1481,89,132
1482,89,136
1483,89,348
1484,278,56
1485,278,130
1486,278,92
1487,278,200
1488,278,347
1489,278,163
1490,278,127
1491,278,154
1492,278,135
1493,278,132
1494,278,136
1495,278,102
1496,278,133
1497,140,306
1498,140,215
1499,140,376
1500,140,191
1501,145,329
1502,145,331
1503,145,377
1504,145,191
1505,129,200
1506,129,131
1507,129,120
1508,129,163
1509,129,378
1510,129,132
1511,129,309
1512,129,337
1513,129,379
1514,129,380
1515,130,200
1516,130,131
1517,130,347
1518,130,127
1519,130,381
1520,130,135
1521,130,136
1522,130,382
1523,130,334
1524,130,383
1525,130,191
1526,190,151
1527,190,140
1528,190,145
1529,190,129
1530,190,340
1531,190,111
1532,190,200
1533,190,199
1534,190,163
1535,190,135
1536,190,132
1537,190,203
1538,190,384
1539,190,193
1540,190,211
1541,190,170
1542,190,171
1543,190,191
1544,190,385
1545,190,217
1546,340,187
1547,340,188
1548,340,350
1549,340,140
1550,340,130
1551,340,200
1552,340,131
1553,340,126
1554,340,291
1555,340,135
1556,340,142
1557,340,386
1558,340,387
1559,340,191
1560,340,388
1561,340,389
1562,198,206
1563,198,115
1564,198,82
1565,198,94
1566,198,119
1567,198,56
1568,198,91
1569,198,190
1570,198,340
1571,198,341
1572,198,163
1573,198,127
1574,198,312
1575,198,390
1576,198,391
1577,198,392
1578,198,339
1579,198,313
1580,198,260
1581,198,273
1582,198,175
1583,198,209
1584,198,245
1585,198,246
1586,198,274
1587,116,159
1588,116,179
1589,116,242
1590,116,74
1591,116,112
1592,116,153
1593,116,202
1594,116,93
1595,116,393
1596,116,348
1597,116,230
1598,116,275
1599,394,71
1600,394,207
1601,394,341
1602,394,381
1603,394,191
1604,394,230
1605,394,177
1606,394,251
1607,394,232
1608,394,395
1609,369,94
1610,369,99
1611,369,56
1612,369,91
1613,369,145
1614,369,190
1615,369,340
1616,369,198
1617,369,341
1618,369,199
1619,369,120
1620,369,313
1621,111,163
1622,111,127
1623,111,202
1624,111,381
1625,111,378
1626,111,396
1627,111,397
1628,111,398
1629,111,399
1630,111,400
1631,111,401
1632,111,165
1633,111,166
1634,111,402
1635,111,403
1636,111,404
1637,111,405
1638,111,216
1639,110,126
1640,110,317
1641,110,112
1642,110,163
1643,110,127
1644,110,153
1645,110,202
1646,110,381
1647,110,378
1648,110,396
1649,110,397
1650,110,398
1651,110,399
1652,110,400
1653,110,164
1654,110,401
1655,110,165
1656,110,406
1657,110,166
1658,110,407
1659,110,408
1660,110,196
1661,110,409
1662,110,404
1663,110,405
1664,110,216
1665,110,194
1666,341,92
1667,341,288
1668,341,202
1669,341,381
1670,341,378
1671,341,268
1672,341,410
1673,341,392
1674,341,246
1675,341,411
1676,341,395
1677,92,97
1678,92,277
1679,92,73
1680,92,92
1681,92,95
1682,92,320
1683,92,311
1684,92,321
1685,92,291
1686,92,322
1687,92,141
1688,92,214
1689,92,154
1690,92,135
1691,92,132
1692,92,312
1693,92,136
1694,92,133
1695,92,138
1696,95,183
1697,95,82
1698,95,122
1699,95,145
1700,95,320
1701,95,311
1702,95,321
1703,95,291
1704,95,322
1705,95,141
1706,95,214
1707,95,154
1708,95,135
1709,95,132
1710,95,312
1711,95,136
1712,95,155
1713,95,133
1714,95,142
1715,200,82
1716,200,94
1717,200,347
1718,200,120
1719,200,74
1720,200,112
1721,200,291
1722,200,135
1723,200,132
1724,200,312
1725,200,307
1726,200,337
1727,200,348
1728,131,72
1729,131,94
1730,131,111
1731,131,95
1732,131,199
1733,131,120
1734,131,74
1735,131,112
1736,131,163
1737,131,158
1738,131,321
1739,131,291
1740,131,135
1741,131,132
1742,131,312
1743,131,136
1744,131,305
1745,131,334
1746,199,163
1747,199,127
1748,199,202
1749,199,381
1750,199,378
1751,199,396
1752,199,397
1753,199,398
1754,199,203
1755,199,412
1756,199,413
1757,199,404
1758,126,163
1759,126,127
1760,126,202
1761,126,381
1762,126,378
1763,126,396
1764,126,397
1765,126,398
1766,126,203
1767,126,412
1768,126,414
1769,126,415
1770,126,413
1771,126,409
1772,126,404
1773,126,416
1774,120,281
1775,120,119
1776,120,324
1777,317,122
1778,317,191
1779,317,348
1780,74,112
1781,74,163
1782,74,127
1783,74,402
1784,74,417
1785,74,407
1786,74,408
1787,74,409
1788,74,191
1789,74,230
1790,74,176
1791,112,159
1792,112,163
1793,112,398
1794,112,412
1795,112,415
1796,112,402
1797,112,403
1798,112,408
1799,112,404
1800,112,416
1801,112,216
1802,112,218
1803,112,191
1804,112,253
1805,112,254
1806,112,230
1807,112,176
1808,112,178
1809,112,372
1810,163,127
1811,163,153
1812,163,158
1813,163,303
1814,163,381
1815,163,396
1816,163,397
1817,163,398
1818,163,399
1819,163,400
1820,163,164
1821,163,401
1822,163,165
1823,163,235
1824,163,166
1825,163,414
1826,163,402
1827,163,417
1828,163,403
1829,163,418
1830,163,407
1831,163,408
1832,163,196
1833,163,167
1834,163,413
1835,163,409
1836,163,404
1837,163,416
1838,163,405
1839,163,419
1840,163,420
1841,163,421
1842,163,193
1843,163,216
1844,163,168
1845,163,211
1846,163,218
1847,163,194
1848,163,357
1849,163,385
1850,163,354
1851,163,176
1852,127,119
1853,127,153
1854,127,158
1855,127,378
1856,127,396
1857,127,397
1858,127,398
1859,127,399
1860,127,400
1861,127,164
1862,127,401
1863,127,165
1864,127,235
1865,127,422
1866,127,203
1867,127,166
1868,127,412
1869,127,414
1870,127,402
1871,127,417
1872,127,423
1873,127,403
1874,127,418
1875,127,407
1876,127,408
1877,127,196
1878,127,409
1879,127,404
1880,127,416
1881,127,405
1882,127,419
1883,127,420
1884,127,421
1885,127,193
1886,127,216
1887,127,168
1888,127,211
1889,127,191
1890,127,194
1891,127,220
1892,127,357
1893,127,385
1894,153,317
1895,153,74
1896,153,112
1897,153,158
1898,153,142
1899,153,164
1900,153,401
1901,153,165
1902,153,422
1903,153,203
1904,153,204
1905,153,166
1906,153,267
1907,153,412
1908,153,414
1909,153,171
1910,153,218
1911,153,191
1912,158,111
1913,158,110
1914,158,199
1915,158,74
1916,158,112
1917,158,324
1918,158,138
1919,158,165
1920,158,422
1921,158,203
1922,158,204
1923,158,166
1924,158,267
1925,158,424
1926,158,170
1927,158,171
1928,158,218
1929,158,191
1930,158,186
1931,279,13
1932,279,49
1933,101,22
1934,101,47
1935,69,279
1936,69,327
1937,69,328
1938,69,377
1939,284,101
1940,284,286
1941,284,330
1942,284,315
1943,284,306
1944,284,215
1945,284,307
1946,298,297
1947,298,279
1948,298,285
1949,298,288
1950,298,332
1951,298,333
1952,298,382
1953,301,101
1954,301,286
1955,301,336
1956,301,309
1957,301,337
1958,301,379
1959,285,125
1960,285,285
1961,285,303
1962,285,306
1963,285,307
1964,285,337
1965,286,302
1966,286,286
1967,286,329
1968,286,331
1969,286,332
1970,286,334
1971,287,82
1972,287,322
1973,287,135
1974,287,132
1975,287,333
1976,287,382
1977,287,336
1978,287,309
1979,287,379
1980,287,425
1981,288,82
1982,288,327
1983,288,328
1984,288,330
1985,288,315
1986,288,376
1987,288,426
1988,320,141
1989,320,330
1990,320,315
1991,320,306
1992,320,215
1993,320,307
1994,320,376
1995,320,332
1996,311,288
1997,311,322
1998,311,102
1999,311,327
2000,311,328
2001,311,329
2002,311,331
2003,311,377
2004,311,330
2005,311,315
2006,311,376
2007,311,426
2008,311,332
2009,321,321
2010,321,291
2011,321,329
2012,321,305
2013,321,306
2014,321,215
2015,321,332
2016,321,337
2017,321,427
2018,291,121
2019,291,113
2020,291,286
2021,291,320
2022,291,132
2023,291,93
2024,291,133
2025,291,305
2026,291,334
2027,291,308
2028,322,101
2029,322,303
2030,322,336
2031,322,309
2032,322,337
2033,322,379
2034,322,428
2035,141,297
2036,141,93
2037,141,329
2038,141,332
2039,141,333
2040,141,382
2041,141,334
2042,141,308
2043,141,383
2044,141,429
2045,141,309
2046,141,379
2047,141,428
2048,214,147
2049,214,145
2050,214,311
2051,214,322
2052,214,154
2053,214,132
2054,214,138
2055,214,310
2056,214,379
2057,214,428
2058,154,197
2059,154,140
2060,154,200
2061,154,347
2062,154,320
2063,154,141
2064,154,154
2065,154,136
2066,154,142
2067,154,426
2068,154,382
2069,154,334
2070,154,429
2071,154,379
2072,154,428
2073,154,430
2074,154,425
2075,303,94
2076,303,73
2077,303,190
2078,303,291
2079,303,306
2080,303,215
2081,303,307
2082,304,321
2083,304,291
2084,304,329
2085,304,331
2086,304,305
2087,304,332
2088,202,140
2089,202,145
2090,202,327
2091,202,329
2092,202,331
2093,202,377
2094,202,330
2095,202,306
2096,202,215
2097,202,376
2098,202,191
2099,381,332
2100,381,382
2101,381,334
2102,381,383
2103,381,191
2104,378,335
2105,378,309
2106,378,337
2107,378,379
2108,378,191
2109,135,199
2110,135,312
2111,135,136
2112,135,137
2113,135,325
2114,135,155
2115,135,327
2116,135,328
2117,135,431
2118,135,330
2119,135,215
2120,135,307
2121,135,376
2122,135,426
2123,135,333
2124,135,382
2125,135,432
2126,135,433
2127,135,434
2128,135,435
2129,135,436
2130,135,437
2131,135,438
2132,135,439
2133,135,440
2134,132,82
2135,132,135
2136,132,312
2137,132,102
2138,132,326
